datetime,energy_supplied_kwh,energy_billed_kwh,hour,day,month,loss_kwh,loss_ratio,rolling_loss_mean,rolling_loss_std,anomaly,anomaly_score
2014-10-13 19:59:23,480.13,247.08,19,13,10,233.04999999999998,0.4853893737112865,0.07063190000441656,0.09672510759217248,-1,-0.07472355497745242
2014-10-14 01:59:20,200.0,188.41,1,14,10,11.590000000000003,0.057950000000000015,0.0726233552717407,0.09614510386296365,-1,-0.013899213972734081
2014-10-14 06:59:17,200.0,186.42,6,14,10,13.580000000000013,0.06790000000000006,0.06923358309272959,0.09701677880785874,-1,-0.0026850059083567412
2014-10-14 08:59:16,633.55,463.42,8,14,10,170.12999999999994,0.26853444874122,0.08075584603239534,0.10420945480353552,-1,-0.052424377745004636
2014-10-14 09:59:15,800.0,784.24,9,14,10,15.759999999999991,0.01969999999999999,0.07958110524711288,0.10475350389770505,-1,-0.022104759202784874
2014-10-14 20:59:09,386.58,263.63,20,14,10,122.94999999999999,0.31804542397433905,0.06964946707074861,0.07135679193835881,-1,-0.031129942967128788
2014-10-15 05:59:04,505.74,382.29,5,15,10,123.44999999999999,0.2440977577411318,0.07667197634580641,0.07973790279227302,-1,-0.011755561879067788
2014-10-15 14:59:00,458.33,316.58,14,15,10,141.75,0.30927497654528396,0.07936536455378373,0.084012427272183,-1,-0.0361919798440683
2014-10-22 00:57:36,287.88,192.65,0,22,10,95.22999999999999,0.33079755453661247,0.05627601270518379,0.061378037198683885,-1,-0.0356450447464145
2014-10-22 09:57:32,368.48,221.92,9,22,10,146.56000000000003,0.3977420755536258,0.07210409920667872,0.09178356756171521,-1,-0.06892222984577245
2014-10-22 20:57:26,200.0,183.14,20,22,10,16.860000000000014,0.08430000000000007,0.07223213157856095,0.09178125748574094,-1,-0.002919921388085167
2014-10-23 08:57:19,623.98,448.09,8,23,10,175.89000000000004,0.2818840347447034,0.07275305045511797,0.08865636680338035,-1,-0.030065048504422598
2014-10-23 22:57:12,635.28,470.7,22,23,10,164.57999999999998,0.2590668681526256,0.06525748635827948,0.06914097878877612,-1,-0.012711573757888672
2014-10-29 16:55:57,278.37,193.72,16,29,10,84.65,0.30409167654560476,0.051700853748238795,0.05703515076893009,-1,-0.02683762579763438
2014-10-31 23:55:27,374.27,258.52,23,31,10,115.75,0.3092687097549897,0.05538081183286273,0.05680133751023314,-1,-0.033461424048063404
2014-11-01 01:55:26,414.79,292.98,1,1,11,121.81,0.2936666747028617,0.0677553061614366,0.07411753325567252,-1,-0.0521307909451042
2014-11-01 21:55:15,200.0,187.44,21,1,11,12.560000000000002,0.06280000000000001,0.06924590792558995,0.07479910516538846,-1,-0.0035827503927046145
2014-11-03 06:54:58,492.7,322.79,6,3,11,169.90999999999997,0.3448548812664907,0.055050404624684635,0.06321145452008557,-1,-0.03562551665209179
2014-11-04 01:54:47,258.29,180.24,1,4,11,78.05000000000001,0.30217972046924,0.06776407031290746,0.08083916682222504,-1,-0.07285446702780918
2014-11-04 19:54:38,388.32,254.54,19,4,11,133.78,0.34450968273588795,0.06770305031201312,0.08137396613570382,-1,-0.05410612944644411
2014-11-11 22:53:05,740.96,564.12,22,11,11,176.84000000000003,0.2386633556467286,0.06168197819792128,0.06215624065621607,-1,-0.024266210187109172
2014-11-14 20:52:28,287.38,201.43,20,14,11,85.94999999999999,0.2990813556962906,0.05730384430225092,0.05380721179870622,-1,-0.013143403283543242
2014-11-23 09:50:37,755.86,564.12,9,23,11,191.74,0.2536713147937449,0.06491732236273465,0.048602417163694636,-1,-0.009070267725202474
2014-11-23 23:50:29,476.41,323.16,23,23,11,153.25,0.32167670703805545,0.07166772866122724,0.07341100326910234,-1,-0.04323547982734233
2014-11-25 01:50:15,462.61,282.27,1,25,11,180.34000000000003,0.38983160761764774,0.058540370169671174,0.07286996380959895,-1,-0.05074363329757392
2014-11-27 05:49:47,524.92,364.21,5,27,11,160.70999999999998,0.3061609388097234,0.06124241794556812,0.05615738166250179,-1,-0.008542949727940896
2014-11-28 09:49:32,291.75,213.45,9,28,11,78.30000000000001,0.26838046272493576,0.051352058759086404,0.04880992418719136,-1,-0.015532925577002032
2014-11-29 20:49:13,516.77,250.35,20,29,11,266.41999999999996,0.5155485032025853,0.07447249658191736,0.10159561309264616,-1,-0.09972827074493795
2014-11-29 22:49:12,677.01,666.66,22,29,11,10.350000000000023,0.015287809633535727,0.0716394297457293,0.10267887646229217,-1,-0.026057837836973907
2014-11-30 00:49:11,427.0,416.74,0,30,11,10.259999999999991,0.024028103044496464,0.07058176099141561,0.10300880732449441,-1,-0.0026334804287365676
2014-11-30 08:49:07,800.0,783.51,8,30,11,16.49000000000001,0.020612500000000013,0.06402244932741241,0.10411628821293921,-1,-0.02795524387159265
2014-11-30 19:49:01,254.92,241.59,19,30,11,13.329999999999984,0.05229091479679893,0.06248193578152635,0.0982306611112034,-1,-0.0029430723183709873
2014-12-01 11:48:52,800.0,618.48,11,1,12,181.51999999999998,0.2269,0.0534509552624817,0.040920561304510224,-1,-0.01821671218751797
2014-12-05 01:48:06,506.96,384.57,1,5,12,122.38999999999999,0.24141944137604543,0.05630294393909535,0.053326238907893286,-1,-0.007694940887373214
2014-12-05 02:48:05,626.41,407.95,2,5,12,218.45999999999998,0.3487492217557191,0.0693255275701528,0.07979748852828299,-1,-0.061372855964411555
2014-12-05 04:48:04,200.0,188.2,4,5,12,11.800000000000011,0.05900000000000006,0.07102543634347243,0.07879551157265137,-1,-0.011051237929835311
2014-12-05 09:48:01,800.0,538.75,9,5,12,261.25,0.3265625,0.08624093675217552,0.09267223756331217,-1,-0.09340682612237494
2014-12-05 10:48:01,760.23,728.83,10,5,12,31.399999999999977,0.04130328979387814,0.08569361933264676,0.09290671732743083,-1,-0.019004114928238947
2014-12-05 12:48:00,753.42,731.05,12,5,12,22.370000000000005,0.029691274455151184,0.07898288837941501,0.09045948379699717,-1,-0.006728102255271429
2014-12-05 22:47:54,649.73,628.32,22,5,12,21.409999999999968,0.03295214935434714,0.08214612266207823,0.08872344944053821,-1,-0.0035738695395055586
2014-12-05 23:47:54,635.75,601.77,23,5,12,33.98000000000002,0.05344868265827765,0.08328012943287179,0.08814980082342404,-1,-0.006245004487352546
2014-12-06 00:47:53,247.57,233.74,0,6,12,13.829999999999984,0.05586298824574861,0.0830874872990416,0.08820681347554131,-1,-0.03208624190784637
2014-12-06 01:47:53,200.0,189.01,1,6,12,10.990000000000009,0.05495000000000005,0.07531792724170637,0.08162056691117532,-1,-0.023047276111651138
2014-12-06 02:47:52,708.25,529.5,2,6,12,178.75,0.2523826332509707,0.0713026527206752,0.06897522827980393,-1,-0.0390803810853928
2014-12-07 13:47:33,800.0,593.48,13,7,12,206.51999999999998,0.25815,0.05558759007400652,0.04833671152208209,-1,-0.014170958567698344
2014-12-09 21:47:03,521.58,337.05,21,9,12,184.53000000000003,0.35379040607385254,0.055281999945060854,0.06608643047502069,-1,-0.03272049381237652
2014-12-12 02:46:34,800.0,619.06,2,12,12,180.94000000000005,0.22617500000000007,0.06118377704897173,0.0640644075434298,-1,-0.017154216565001157
2014-12-12 05:46:33,800.0,589.95,5,12,12,210.04999999999995,0.2625624999999999,0.06743970959428637,0.07688241404203638,-1,-0.027788774898738877
2014-12-13 22:46:11,211.73,139.16,22,13,12,72.57,0.342747839229207,0.05965773890179449,0.06241804737821559,-1,-0.05824116940205881
